ts,equity,benchmark_equity
2025-04-07 13:00:00+00:00,10000.0,10000.0
2025-04-07 14:00:00+00:00,10000.0,10090.938839824254
2025-04-07 15:00:00+00:00,10000.0,10054.235866170611
2025-04-07 16:00:00+00:00,10000.0,9883.222530271018
2025-04-07 17:00:00+00:00,10000.0,10102.953208749932
2025-04-07 18:00:00+00:00,10000.0,10008.002258521665
2025-04-07 19:00:00+00:00,10000.0,9996.84541704984
2025-04-07 20:00:00+00:00,10000.0,10070.88028437567
2025-04-07 21:00:00+00:00,10000.0,10133.062505066298
2025-04-07 22:00:00+00:00,10000.0,10221.619435106035
2025-04-07 23:00:00+00:00,10000.0,10111.724147294266
2025-04-08 00:00:00+00:00,10000.0,10102.52793902311
2025-04-08 01:00:00+00:00,10000.0,10308.169810800893
2025-04-08 02:00:00+00:00,10000.0,10208.549878149242
2025-04-08 03:00:00+00:00,10000.0,10199.98258989663
2025-04-08 04:00:00+00:00,10000.0,10258.123749896677
2025-04-08 05:00:00+00:00,10000.0,10199.159004158058
2025-04-08 06:00:00+00:00,10000.0,10152.41726906556
2025-04-08 07:00:00+00:00,10000.0,10155.424105725646
2025-04-08 08:00:00+00:00,10000.0,10111.525488431264
2025-04-08 09:00:00+00:00,10000.0,10087.817200303634
2025-04-08 10:00:00+00:00,10000.0,10089.76884893261
2025-04-08 11:00:00+00:00,10000.0,10205.779635210412
2025-04-08 12:00:00+00:00,10000.0,10202.278647107183
2025-04-08 13:00:00+00:00,10000.0,10214.623448614035
2025-04-08 14:00:00+00:00,10000.0,10034.669465593677
2025-04-08 15:00:00+00:00,10000.0,10029.013178569754
2025-04-08 16:00:00+00:00,10000.0,9893.769419153425
2025-04-08 17:00:00+00:00,10000.0,9876.821522082275
2025-04-08 18:00:00+00:00,10000.0,9868.088518396205
2025-04-08 19:00:00+00:00,10000.0,9811.851089309434
2025-04-08 20:00:00+00:00,10000.0,9840.998038168851
2025-04-08 21:00:00+00:00,10000.0,9839.662331843752
2025-04-08 22:00:00+00:00,10000.0,9803.322734200825
2025-04-08 23:00:00+00:00,10000.0,9744.722362758665
2025-04-09 00:00:00+00:00,10000.0,9768.025346874341
2025-04-09 01:00:00+00:00,10000.0,9710.408286889748
2025-04-09 02:00:00+00:00,10000.0,9656.21335043463
2025-04-09 03:00:00+00:00,10000.0,9583.930474589031
2025-04-09 04:00:00+00:00,10000.0,9751.813186396315
2025-04-09 05:00:00+00:00,10000.0,9790.758309830355
2025-04-09 06:00:00+00:00,10000.0,9807.995709767181
2025-04-09 07:00:00+00:00,10000.0,9933.613998042556
2025-04-09 08:00:00+00:00,10000.0,9878.729246138526
2025-04-09 09:00:00+00:00,10000.0,9899.477617036022
2025-04-09 10:00:00+00:00,10000.0,9895.414594059077
